""
Smilacaceae
Ephedra
Cystopteris
Pulmonaria saccharata
Euphorbia dendroides
Malus sylvestris
Ornithopus pinnatus
Anagyris foetida
Paris quadrifolia
Hedera
Buphthalmum salicifolium
Oxalis dillenii
Orobanche
Urtica
Tribulus terrestris
Potentilla brauneana
Veratrum
Gymnocarpium
Myriophyllum spicatum
Carum
Verbena
Genista linifolia
Anchusa
Viola elatior
Oxytropis campestris
Cicendia filiformis
Atocion
Athyrium
Portulaca
Equisetum ramosissimum
Aspilia platyphylla
Asparagus prostratus
Xanthium orientale
Juncus
Herniaria glabra
Picnomon acarna
Ballota nigra
Orobanche amethystea
Delphinium
Myosotis
Solanum chenopodioides
Ambrosia psilostachya
Valeriana
Gesneriaceae
Catapodium
Baldellia
Acer monspessulanum
Nassella tenuissima
Asteriscus
Leopoldia comosa
Populus tremula
Xanthoselinum
Arabis caerulea
Cymbalaria muralis
Jacobaea vulgaris
Rumex acetosella
Sedum dasyphyllum
Jasonia
Blechnum spicant
Pinaceae
Carex binervis
Iberis aurosica
Festuca altissima
Artemisia absinthium
Teucrium scordium
Bromus sterilis
Dianthus superbus
Barbarea intermedia
Salicaceae
Ranunculus ophioglossifolius
Sabulina verna
Rubus leightonii
Gaudinia fragilis
Hordeum murinum
Inula
Allium lusitanicum
Erica scoparia
Tragus racemosus
Cephalanthera rubra
Portulacaceae
Potentilla sterilis
Sesbania
Luzula sylvatica
Rhamnus alaternus
Rubus canescens
Passiflora
Laburnum alpinum
Platanthera
Colchicum multiflorum
Capsella
Veronica montana
Linum austriacum
Euphorbia spinosa
Digitalis lutea
Alyssum simplex
Fagales
Clypeola
Thymelaea
Juncus maritimus
Lotus edulis
Arabis alpina
Festuca cinerea
Aposeris
Saussurea depressa
Limonium virgatum
Bignoniaceae
Trifolium micranthum
Broussonetia papyrifera
Cladium
Campanula speciosa
Micropyrum
Lantana camara
Petrosedum
Campanula thyrsoides
Orlaya daucoides
Empetrum
Carpinus betulus
Limodorum
Circaea lutetiana
Buglossoides arvensis
Epilobium
Salix alba
Linum suffruticosum
Paeoniaceae
Aruncus
Carex pilosa
Tanacetum parthenium
Salsola
Clematis
Carex austroalpina
Antennaria carpatica
Carduus defloratus
Vinca
Festuca guestfalica
Opuntia stricta
Veronica triphyllos
Leontopodium
Anemone narcissifolia
Saxifraga praetermissa
Juncus inflexus
Acacia longifolia
Tilia cordata
Xeranthemum cylindraceum
Platanthera chlorantha
Alcea
Vicia sativa
Juncus filiformis
Lonicera periclymenum
Poa infirma
Plantago albicans
Serapias vomeracea
Tulipa agenensis
Acca sellowiana
Veronica fruticulosa
Valerianella
Bellis annua
Saussurea alpina
Myagrum
Eragrostis cilianensis
Hieracium villosum
Blackstonia
Astragalus hamosus
Swertia
Pedicularis comosa
Salix herbacea
Centranthus
Centaurea nigra
Dipsacus sativus
Lathyrus angulatus
Betula pubescens
Asperula cynanchica
Legousia speculum-veneris
Oxybasis
Geranium phaeum
Ericales
Herniaria
Globularia nudicaulis
Genista anglica
Androsace villosa
Rubus
Carex vesicaria
Sedum cepaea
Ulmaceae
Cupressus sempervirens
Scandix australis
Molinia caerulea
Bromus benekenii
Ficus
Anthriscus caucalis
Cardamine flexuosa
Aposeris foetida
Stellaria media
Kickxia spuria
Cynanchum
Cruciata laevipes
Carex riparia
Sison segetum
Ebenaceae
Lilium martagon
Aquilegia vulgaris
Trigonella gladiata
Dictamnus albus
Hyacinthus
Filago germanica
Adiantum
Sium
Ranunculus angustifolius
Mentha spicata
Lasiospora
Astrantia major
Polycarpon tetraphyllum
